V3C99_003121	Hcon5G00000006078.1
V3C99_003124	Hcon5G00000006081.1
V3C99_003126	Hcon5G00000006083.2
V3C99_003126	Hcon5G00000006083.1
V3C99_003128	Hcon5G00000006085.4
V3C99_003127	Hcon5G00000006084.1
V3C99_003133	Hcon5G00000006090.1
V3C99_003133	Hcon5G00000006090.2
V3C99_003134	Hcon5G00000006091.1
V3C99_003134	Hcon5G00000006091.2
V3C99_003136	Hcon5G00000006093.1
V3C99_003136	Hcon5G00000006093.2
V3C99_003140	Hcon5G00000006097.1
V3C99_003143	Hcon5G00000006100.5
V3C99_003147	Hcon5G00000006104.1
V3C99_003149	Hcon5G00000006106.5
V3C99_003155	Hcon5G00000006112.2
V3C99_003160	Hcon5G00000006117.1
V3C99_003165	Hcon5G00000006122.1
V3C99_003166	Hcon5G00000006123.1
V3C99_003170	Hcon5G00000006127.1
V3C99_003170	Hcon5G00000006127.2
V3C99_003173	Hcon5G00000006130.1
V3C99_003178	Hcon5G00000006135.1
V3C99_003178	Hcon5G00000006135.2
V3C99_003179	Hcon5G00000006136.1
V3C99_003179	Hcon5G00000006136.2
V3C99_003182	Hcon5G00000006139.1
V3C99_003183	Hcon5G00000006140.1
V3C99_003193	Hcon5G00000006150.1
V3C99_003201	Hcon5G00000006158.1
V3C99_003205	Hcon5G00000006162.1
V3C99_003207	Hcon5G00000006164.1
V3C99_003211	Hcon5G00000006168.1
V3C99_003211	Hcon5G00000006168.2
V3C99_003215	Hcon5G00000006172.1
V3C99_003217	Hcon5G00000006174.1
V3C99_003220	Hcon5G00000006177.2
V3C99_003221	Hcon5G00000006178.1
V3C99_003221	Hcon5G00000006178.2
V3C99_003224	Hcon5G00000006181.1
V3C99_003228	Hcon5G00000006185.2
V3C99_003228	Hcon5G00000006185.1
V3C99_003228	Hcon5G00000006185.3
V3C99_003228	Hcon5G00000006185.5
V3C99_003229	Hcon5G00000006186.1
V3C99_003229	Hcon5G00000006186.2
V3C99_003230	Hcon5G00000006187.2
V3C99_003230	Hcon5G00000006187.1
V3C99_003236	Hcon5G00000006193.1
V3C99_003243	Hcon5G00000006200.1
V3C99_003248	Hcon5G00000006205.1
V3C99_003249	Hcon5G00000006206.1
V3C99_003256	Hcon5G00000006213.2
V3C99_003256	Hcon5G00000006213.1
V3C99_003257	Hcon5G00000006214.1
V3C99_003257	Hcon5G00000006214.2
V3C99_003257	Hcon5G00000006214.3
V3C99_003257	Hcon5G00000006214.4
V3C99_003258	Hcon5G00000006215.2
V3C99_003258	Hcon5G00000006215.4
V3C99_003258	Hcon5G00000006215.3
V3C99_003258	Hcon5G00000006215.1
V3C99_003261	Hcon5G00000006218.1
V3C99_003269	Hcon5G00000006226.2
V3C99_003273	Hcon5G00000006230.3
V3C99_003275	Hcon5G00000006232.6
V3C99_003283	Hcon5G00000006240.1
V3C99_003288	Hcon5G00000006245.1
V3C99_003288	Hcon5G00000006245.3
V3C99_003288	Hcon5G00000006245.2
V3C99_003289	Hcon5G00000006246.1
V3C99_003292	Hcon5G00000006249.6
V3C99_003292	Hcon5G00000006249.5
V3C99_003294	Hcon5G00000006251.1
V3C99_003297	Hcon5G00000006254.1
V3C99_003297	Hcon5G00000006254.2
V3C99_003298	Hcon5G00000006255.4
V3C99_003313	Hcon5G00000006270.1
V3C99_003313	Hcon5G00000006270.2
V3C99_003319	Hcon5G00000006276.1
V3C99_003319	Hcon5G00000006276.2
V3C99_003320	Hcon5G00000006277.2
V3C99_003324	Hcon5G00000006281.1
V3C99_003325	Hcon5G00000006282.1
V3C99_003326	Hcon5G00000006283.1
V3C99_003327	Hcon5G00000006284.1
V3C99_003328	Hcon5G00000006285.1
V3C99_003329	Hcon5G00000006286.1
V3C99_003330	Hcon5G00000006287.1
V3C99_003331	Hcon5G00000006288.1
V3C99_003332	Hcon5G00000006289.1
V3C99_003333	Hcon5G00000006290.1
V3C99_003338	Hcon5G00000006295.1
V3C99_003339	Hcon5G00000006296.1
V3C99_003340	Hcon5G00000006297.1
V3C99_003341	Hcon5G00000006298.1
V3C99_003342	Hcon5G00000006299.1
V3C99_003351	Hcon5G00000006308.1
V3C99_003351	Hcon5G00000006308.2
V3C99_003352	Hcon5G00000006309.1
V3C99_003354	Hcon5G00000006311.2
V3C99_003358	Hcon5G00000006315.2
V3C99_003358	Hcon5G00000006315.1
V3C99_003369	Hcon5G00000006326.3
V3C99_003376	Hcon5G00000006333.2
V3C99_003384	Hcon5G00000006341.1
V3C99_003388	Hcon5G00000006345.1
V3C99_003388	Hcon5G00000006345.2
V3C99_003392	Hcon5G00000006349.8
V3C99_003392	Hcon5G00000006349.4
V3C99_003392	Hcon5G00000006349.6
V3C99_003392	Hcon5G00000006349.3
V3C99_003392	Hcon5G00000006349.1
V3C99_003392	Hcon5G00000006349.5
V3C99_003392	Hcon5G00000006349.7
V3C99_003392	Hcon5G00000006349.2
V3C99_003393	Hcon5G00000006350.1
V3C99_003400	Hcon5G00000006357.2
V3C99_003400	Hcon5G00000006357.1
V3C99_003406	Hcon5G00000006363.2
V3C99_003409	Hcon5G00000006366.1
V3C99_003413	Hcon5G00000006370.1
V3C99_003415	Hcon5G00000006372.1
V3C99_003419	Hcon5G00000006376.2
V3C99_003419	Hcon5G00000006376.1
V3C99_003419	Hcon5G00000006376.3
V3C99_003424	Hcon5G00000006381.1
V3C99_003434	Hcon5G00000006391.1
V3C99_003439	Hcon5G00000006396.1
V3C99_003450	Hcon5G00000006407.1
V3C99_003451	Hcon5G00000006408.1
V3C99_003452	Hcon5G00000006409.2
V3C99_003469	Hcon5G00000006426.1
V3C99_003490	Hcon5G00000006447.1
V3C99_003490	Hcon5G00000006447.2
V3C99_003492	Hcon5G00000006449.1
V3C99_003494	Hcon5G00000006451.1
V3C99_003495	Hcon5G00000006452.1
V3C99_003498	Hcon5G00000006455.1
V3C99_003498	Hcon5G00000006455.2
V3C99_003504	Hcon5G00000006461.1
V3C99_003509	Hcon5G00000006466.1
V3C99_003509	Hcon5G00000006466.6
V3C99_003515	Hcon5G00000006472.1
V3C99_003515	Hcon5G00000006472.2
V3C99_003517	Hcon5G00000006474.2
V3C99_003517	Hcon5G00000006474.1
V3C99_003518	Hcon5G00000006475.3
V3C99_003518	Hcon5G00000006475.2
V3C99_003519	Hcon5G00000006476.3
V3C99_003520	Hcon5G00000006477.2
V3C99_003527	Hcon5G00000006484.2
V3C99_003528	Hcon5G00000006485.2
V3C99_003529	Hcon5G00000006486.2
V3C99_003529	Hcon5G00000006486.1
V3C99_003530	Hcon5G00000006487.1
V3C99_003534	Hcon5G00000006491.1
V3C99_003539	Hcon5G00000006496.2
V3C99_003539	Hcon5G00000006496.1
V3C99_003539	Hcon5G00000006496.3
V3C99_003540	Hcon5G00000006497.1
V3C99_003540	Hcon5G00000006497.2
V3C99_003543	Hcon5G00000006500.2
V3C99_003544	Hcon5G00000006501.2
V3C99_003545	Hcon5G00000006502.1
V3C99_003546	Hcon5G00000006503.2
V3C99_003548	Hcon5G00000006505.1
V3C99_003556	Hcon5G00000006513.1
V3C99_003556	Hcon5G00000006513.2
V3C99_003559	Hcon5G00000006516.3
V3C99_003559	Hcon5G00000006516.2
V3C99_003559	Hcon5G00000006516.1
V3C99_003562	Hcon5G00000006519.1
V3C99_003563	Hcon5G00000006520.1
V3C99_003565	Hcon5G00000006522.1
V3C99_003579	Hcon5G00000006536.1
V3C99_003580	Hcon5G00000006537.2
V3C99_003581	Hcon5G00000006538.1
V3C99_003583	Hcon5G00000006540.1
V3C99_003584	Hcon5G00000006541.1
V3C99_003585	Hcon5G00000006542.1
V3C99_003586	Hcon5G00000006543.1
V3C99_003591	Hcon5G00000006548.2
V3C99_003593	Hcon5G00000006550.1
V3C99_003594	Hcon5G00000006551.1
V3C99_003596	Hcon5G00000006553.1
V3C99_003603	Hcon5G00000006560.1
V3C99_003603	Hcon5G00000006560.2
V3C99_003604	Hcon5G00000006561.4
V3C99_003606	Hcon5G00000006563.2
V3C99_003606	Hcon5G00000006563.1
V3C99_003609	Hcon5G00000006566.3
V3C99_003613	Hcon5G00000006570.1
V3C99_003614	Hcon5G00000006571.1
V3C99_003614	Hcon5G00000006571.2
V3C99_003622	Hcon5G00000006579.3
V3C99_003623	Hcon5G00000006580.1
V3C99_003624	Hcon5G00000006581.1
V3C99_003624	Hcon5G00000006581.2
V3C99_003625	Hcon5G00000006582.1
V3C99_003626	Hcon5G00000006583.1
V3C99_003627	Hcon5G00000006584.1
V3C99_003628	Hcon5G00000006585.1
V3C99_003628	Hcon5G00000006585.2
V3C99_003628	Hcon5G00000006585.3
V3C99_003628	Hcon5G00000006585.4
V3C99_003633	Hcon5G00000006590.1
V3C99_003635	Hcon5G00000006592.1
V3C99_003639	Hcon5G00000006596.1
V3C99_003640	Hcon5G00000006597.1
V3C99_003642	Hcon5G00000006599.1
V3C99_003642	Hcon5G00000006599.2
V3C99_003644	Hcon5G00000006601.1
V3C99_003647	Hcon5G00000006604.1
V3C99_003647	Hcon5G00000006604.3
V3C99_003647	Hcon5G00000006604.2
V3C99_003647	Hcon5G00000006604.4
V3C99_003653	Hcon5G00000006610.2
V3C99_003653	Hcon5G00000006610.1
V3C99_003660	Hcon5G00000006617.1
V3C99_003660	Hcon5G00000006617.2
V3C99_003661	Hcon5G00000006618.1
V3C99_003664	Hcon5G00000006621.3
V3C99_003664	Hcon5G00000006621.2
V3C99_003664	Hcon5G00000006621.1
V3C99_003664	Hcon5G00000006621.5
V3C99_003664	Hcon5G00000006621.4
V3C99_003668	Hcon5G00000006625.1
V3C99_003670	Hcon5G00000006627.5
V3C99_003673	Hcon5G00000006630.1
V3C99_003675	Hcon5G00000006632.1
V3C99_003683	Hcon5G00000006640.2
V3C99_003701	Hcon5G00000006658.1
V3C99_003701	Hcon5G00000006658.2
V3C99_003709	Hcon5G00000006666.1
V3C99_003711	Hcon5G00000006668.2
V3C99_003712	Hcon5G00000006669.2
V3C99_003713	Hcon5G00000006670.1
V3C99_003713	Hcon5G00000006670.2
V3C99_003714	Hcon5G00000006671.1
V3C99_003714	Hcon5G00000006671.2
V3C99_003716	Hcon5G00000006673.1
V3C99_003717	Hcon5G00000006674.2
V3C99_003717	Hcon5G00000006674.1
V3C99_003720	Hcon5G00000006677.1
V3C99_003720	Hcon5G00000006677.2
V3C99_003736	Hcon5G00000006693.2
V3C99_003741	Hcon5G00000006698.2
V3C99_003755	Hcon5G00000006712.2
V3C99_003755	Hcon5G00000006712.1
V3C99_003768	Hcon5G00000006725.1
V3C99_003768	Hcon5G00000006725.2
V3C99_003769	Hcon5G00000006726.1
V3C99_003770	Hcon5G00000006727.2
V3C99_003783	Hcon5G00000006740.4
V3C99_003786	Hcon5G00000006743.1
V3C99_003787	Hcon5G00000006744.1
V3C99_003788	Hcon5G00000006745.2
V3C99_003791	Hcon5G00000006748.2
V3C99_003792	Hcon5G00000006749.2
V3C99_003792	Hcon5G00000006749.1
V3C99_003793	Hcon5G00000006750.1
V3C99_003794	Hcon5G00000006751.1
V3C99_003798	Hcon5G00000006755.3
V3C99_003798	Hcon5G00000006755.2
V3C99_003798	Hcon5G00000006755.1
V3C99_003799	Hcon5G00000006756.1
V3C99_003799	Hcon5G00000006756.2
V3C99_003799	Hcon5G00000006756.3
V3C99_003813	Hcon5G00000006770.1
V3C99_003813	Hcon5G00000006770.2
V3C99_003814	Hcon5G00000006771.1
V3C99_003815	Hcon5G00000006772.2
V3C99_003824	Hcon5G00000006781.1
V3C99_003825	Hcon5G00000006782.1
V3C99_003833	Hcon5G00000006790.2
V3C99_003833	Hcon5G00000006790.3
V3C99_003834	Hcon5G00000006791.2
V3C99_003834	Hcon5G00000006791.3
V3C99_003834	Hcon5G00000006791.1
