Level	Code	Description
A	09100	Metabolism
C	00010	Glycolysis / Gluconeogenesis
C	00020	Citrate cycle (TCA cycle)
C	00030	Pentose phosphate pathway
C	00040	Pentose and glucuronate interconversions
C	00051	Fructose and mannose metabolism
C	00052	Galactose metabolism
C	00053	Ascorbate and aldarate metabolism
C	00500	Starch and sucrose metabolism
C	00620	Pyruvate metabolism
C	00630	Glyoxylate and dicarboxylate metabolism
C	00640	Propanoate metabolism
C	00650	Butanoate metabolism
C	00660	C5-Branched dibasic acid metabolism
C	00562	Inositol phosphate metabolism
C	00190	Oxidative phosphorylation
C	00195	Photosynthesis
C	00196	Photosynthesis - antenna proteins
C	00710	Carbon fixation by Calvin cycle
C	00720	Other carbon fixation pathways
C	00680	Methane metabolism
C	00910	Nitrogen metabolism
C	00920	Sulfur metabolism
C	00061	Fatty acid biosynthesis
C	00062	Fatty acid elongation
C	00071	Fatty acid degradation
C	00073	Cutin, suberine and wax biosynthesis
C	00074	Mycolic acid biosynthesis
C	00100	Steroid biosynthesis
C	00120	Primary bile acid biosynthesis
C	00121	Secondary bile acid biosynthesis
C	00140	Steroid hormone biosynthesis
C	00561	Glycerolipid metabolism
C	00564	Glycerophospholipid metabolism
C	00565	Ether lipid metabolism
C	00600	Sphingolipid metabolism
C	00590	Arachidonic acid metabolism
C	00591	Linoleic acid metabolism
C	00592	alpha-Linolenic acid metabolism
C	01040	Biosynthesis of unsaturated fatty acids
C	00230	Purine metabolism
C	00240	Pyrimidine metabolism
C	00250	Alanine, aspartate and glutamate metabolism
C	00260	Glycine, serine and threonine metabolism
C	00270	Cysteine and methionine metabolism
C	00280	Valine, leucine and isoleucine degradation
C	00290	Valine, leucine and isoleucine biosynthesis
C	00300	Lysine biosynthesis
C	00310	Lysine degradation
C	00220	Arginine biosynthesis
C	00330	Arginine and proline metabolism
C	00340	Histidine metabolism
C	00350	Tyrosine metabolism
C	00360	Phenylalanine metabolism
C	00380	Tryptophan metabolism
C	00400	Phenylalanine, tyrosine and tryptophan biosynthesis
C	00410	beta-Alanine metabolism
C	00430	Taurine and hypotaurine metabolism
C	00440	Phosphonate and phosphinate metabolism
C	00450	Selenocompound metabolism
C	00460	Cyanoamino acid metabolism
C	00470	D-Amino acid metabolism
C	00480	Glutathione metabolism
C	00520	Amino sugar and nucleotide sugar metabolism
C	00541	Biosynthesis of various nucleotide sugars
C	00510	N-Glycan biosynthesis
C	00513	Various types of N-glycan biosynthesis
C	00512	Mucin type O-glycan biosynthesis
C	00515	Mannose type O-glycan biosynthesis
C	00514	Other types of O-glycan biosynthesis
C	00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
C	00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
C	00533	Glycosaminoglycan biosynthesis - keratan sulfate
C	00531	Glycosaminoglycan degradation
C	00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
C	00601	Glycosphingolipid biosynthesis - lacto and neolacto series
C	00603	Glycosphingolipid biosynthesis - globo and isoglobo series
C	00604	Glycosphingolipid biosynthesis - ganglio series
C	00511	Other glycan degradation
C	00540	Lipopolysaccharide biosynthesis
C	00542	O-Antigen repeat unit biosynthesis
C	00550	Peptidoglycan biosynthesis
C	00552	Teichoic acid biosynthesis
C	00571	Lipoarabinomannan (LAM) biosynthesis
C	00572	Arabinogalactan biosynthesis - Mycobacterium
C	00543	Exopolysaccharide biosynthesis
C	00730	Thiamine metabolism
C	00740	Riboflavin metabolism
C	00750	Vitamin B6 metabolism
C	00760	Nicotinate and nicotinamide metabolism
C	00770	Pantothenate and CoA biosynthesis
C	00780	Biotin metabolism
C	00785	Lipoic acid metabolism
C	00790	Folate biosynthesis
C	00670	One carbon pool by folate
C	00830	Retinol metabolism
C	00860	Porphyrin metabolism
C	00130	Ubiquinone and other terpenoid-quinone biosynthesis
C	00900	Terpenoid backbone biosynthesis
C	00902	Monoterpenoid biosynthesis
C	00909	Sesquiterpenoid and triterpenoid biosynthesis
C	00904	Diterpenoid biosynthesis
C	00906	Carotenoid biosynthesis
C	00905	Brassinosteroid biosynthesis
C	00981	Insect hormone biosynthesis
C	00908	Zeatin biosynthesis
C	00903	Limonene degradation
C	00907	Pinene, camphor and geraniol degradation
C	01052	Type I polyketide structures
C	00522	Biosynthesis of 12-, 14- and 16-membered macrolides
C	01051	Biosynthesis of ansamycins
C	01059	Biosynthesis of enediyne antibiotics
C	01056	Biosynthesis of type II polyketide backbone
C	01057	Biosynthesis of type II polyketide products
C	00253	Tetracycline biosynthesis
C	00523	Polyketide sugar unit biosynthesis
C	01054	Nonribosomal peptide structures
C	01053	Biosynthesis of siderophore group nonribosomal peptides
C	01055	Biosynthesis of vancomycin group antibiotics
C	00940	Phenylpropanoid biosynthesis
C	00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
C	00941	Flavonoid biosynthesis
C	00944	Flavone and flavonol biosynthesis
C	00942	Anthocyanin biosynthesis
C	00943	Isoflavonoid biosynthesis
C	00946	Degradation of flavonoids
C	00901	Indole alkaloid biosynthesis
C	00403	Indole diterpene alkaloid biosynthesis
C	00950	Isoquinoline alkaloid biosynthesis
C	00960	Tropane, piperidine and pyridine alkaloid biosynthesis
C	00996	Biosynthesis of various alkaloids
C	00232	Caffeine metabolism
C	00965	Betalain biosynthesis
C	00966	Glucosinolate biosynthesis
C	00402	Benzoxazinoid biosynthesis
C	00311	Penicillin and cephalosporin biosynthesis
C	00332	Carbapenem biosynthesis
C	00261	Monobactam biosynthesis
C	00331	Clavulanic acid biosynthesis
C	00521	Streptomycin biosynthesis
C	00524	Neomycin, kanamycin and gentamicin biosynthesis
C	00525	Acarbose and validamycin biosynthesis
C	00401	Novobiocin biosynthesis
C	00404	Staurosporine biosynthesis
C	00405	Phenazine biosynthesis
C	00333	Prodigiosin biosynthesis
C	00254	Aflatoxin biosynthesis
C	00998	Biosynthesis of various antibiotics
C	00999	Biosynthesis of various plant secondary metabolites
C	00997	Biosynthesis of various other secondary metabolites
C	00362	Benzoate degradation
C	00627	Aminobenzoate degradation
C	00364	Fluorobenzoate degradation
C	00625	Chloroalkane and chloroalkene degradation
C	00361	Chlorocyclohexane and chlorobenzene degradation
C	00623	Toluene degradation
C	00622	Xylene degradation
C	00633	Nitrotoluene degradation
C	00642	Ethylbenzene degradation
C	00643	Styrene degradation
C	00791	Atrazine degradation
C	00930	Caprolactam degradation
C	00363	Bisphenol degradation
C	00621	Dioxin degradation
C	00626	Naphthalene degradation
C	00624	Polycyclic aromatic hydrocarbon degradation
C	00365	Furfural degradation
C	00984	Steroid degradation
C	00980	Metabolism of xenobiotics by cytochrome P450
C	00982	Drug metabolism - cytochrome P450
C	00983	Drug metabolism - other enzymes
C	09113	Global maps only
A	09120	Genetic Information Processing
C	03020	RNA polymerase
C	03022	Basal transcription factors
C	03040	Spliceosome
C	03010	Ribosome
C	00970	Aminoacyl-tRNA biosynthesis
C	03013	Nucleocytoplasmic transport
C	03015	mRNA surveillance pathway
C	03008	Ribosome biogenesis in eukaryotes
C	03060	Protein export
C	04141	Protein processing in endoplasmic reticulum
C	04130	SNARE interactions in vesicular transport
C	04120	Ubiquitin mediated proteolysis
C	04122	Sulfur relay system
C	03050	Proteasome
C	03018	RNA degradation
C	03030	DNA replication
C	03410	Base excision repair
C	03420	Nucleotide excision repair
C	03430	Mismatch repair
C	03440	Homologous recombination
C	03450	Non-homologous end-joining
C	03460	Fanconi anemia pathway
C	03082	ATP-dependent chromatin remodeling
C	03083	Polycomb repressive complex
C	03230	Viral genome structure
C	03240	Viral replication
C	03250	Viral life cycle - HIV-1
C	03260	Virion - Human immunodeficiency virus
C	03271	Virion - Rotavirus
C	03262	Virion - Coronavirus
C	03261	Virion - Influenza virus
C	03263	Virion - Enterovirus
C	03264	Virion - Flavivirus and Alphavirus
C	03265	Virion - Ebolavirus, Lyssavirus and Morbillivirus
C	03273	Virion - Lassa virus and SFTS virus
C	03272	Virion - Hepatitis viruses
C	03266	Virion - Herpesvirus
C	03268	Virion - Orthopoxvirus
C	03267	Virion - Adenovirus
C	03259	Virion - Bacteriophages T4 and T7
C	03258	Virion - Bacteriophage lambda
A	09130	Environmental Information Processing
C	02010	ABC transporters
C	02060	Phosphotransferase system (PTS)
C	03070	Bacterial secretion system
C	02020	Two-component system
C	04010	MAPK signaling pathway
C	04013	MAPK signaling pathway - fly
C	04016	MAPK signaling pathway - plant
C	04011	MAPK signaling pathway - yeast
C	04012	ErbB signaling pathway
C	04014	Ras signaling pathway
C	04015	Rap1 signaling pathway
C	04310	Wnt signaling pathway
C	04330	Notch signaling pathway
C	04340	Hedgehog signaling pathway
C	04341	Hedgehog signaling pathway - fly
C	04350	TGF-beta signaling pathway
C	04390	Hippo signaling pathway
C	04391	Hippo signaling pathway - fly
C	04392	Hippo signaling pathway - multiple species
C	04370	VEGF signaling pathway
C	04371	Apelin signaling pathway
C	04630	JAK-STAT signaling pathway
C	04064	NF-kappa B signaling pathway
C	04668	TNF signaling pathway
C	04066	HIF-1 signaling pathway
C	04068	FoxO signaling pathway
C	04020	Calcium signaling pathway
C	04070	Phosphatidylinositol signaling system
C	04072	Phospholipase D signaling pathway
C	04071	Sphingolipid signaling pathway
C	04024	cAMP signaling pathway
C	04022	cGMP-PKG signaling pathway
C	04151	PI3K-Akt signaling pathway
C	04152	AMPK signaling pathway
C	04150	mTOR signaling pathway
C	04075	Plant hormone signal transduction
C	04080	Neuroactive ligand-receptor interaction
C	04082	Neuroactive ligand signaling
C	04081	Hormone signaling
C	04060	Cytokine-cytokine receptor interaction
C	04061	Viral protein interaction with cytokine and cytokine receptor
C	04512	ECM-receptor interaction
C	04514	Cell adhesion molecules
A	09140	Cellular Processes
C	04144	Endocytosis
C	04145	Phagosome
C	04142	Lysosome
C	04146	Peroxisome
C	04140	Autophagy - animal
C	04138	Autophagy - yeast
C	04136	Autophagy - other
C	04137	Mitophagy - animal
C	04139	Mitophagy - yeast
C	04148	Efferocytosis
C	04110	Cell cycle
C	04111	Cell cycle - yeast
C	04112	Cell cycle - Caulobacter
C	04113	Meiosis - yeast
C	04114	Oocyte meiosis
C	04210	Apoptosis
C	04214	Apoptosis - fly
C	04215	Apoptosis - multiple species
C	04216	Ferroptosis
C	04217	Necroptosis
C	04115	p53 signaling pathway
C	04218	Cellular senescence
C	04510	Focal adhesion
C	04520	Adherens junction
C	04530	Tight junction
C	04540	Gap junction
C	04550	Signaling pathways regulating pluripotency of stem cells
C	02024	Quorum sensing
C	05111	Biofilm formation - Vibrio cholerae
C	02025	Biofilm formation - Pseudomonas aeruginosa
C	02026	Biofilm formation - Escherichia coli
C	02030	Bacterial chemotaxis
C	02040	Flagellar assembly
C	04814	Motor proteins
C	04820	Cytoskeleton in muscle cells
C	04810	Regulation of actin cytoskeleton
A	09150	Organismal Systems
C	04640	Hematopoietic cell lineage
C	04610	Complement and coagulation cascades
C	04611	Platelet activation
C	04613	Neutrophil extracellular trap formation
C	04620	Toll-like receptor signaling pathway
C	04624	Toll and Imd signaling pathway
C	04621	NOD-like receptor signaling pathway
C	04622	RIG-I-like receptor signaling pathway
C	04623	Cytosolic DNA-sensing pathway
C	04625	C-type lectin receptor signaling pathway
C	04650	Natural killer cell mediated cytotoxicity
C	04612	Antigen processing and presentation
C	04660	T cell receptor signaling pathway
C	04658	Th1 and Th2 cell differentiation
C	04659	Th17 cell differentiation
C	04657	IL-17 signaling pathway
C	04662	B cell receptor signaling pathway
C	04664	Fc epsilon RI signaling pathway
C	04666	Fc gamma R-mediated phagocytosis
C	04670	Leukocyte transendothelial migration
C	04672	Intestinal immune network for IgA production
C	04062	Chemokine signaling pathway
C	04911	Insulin secretion
C	04910	Insulin signaling pathway
C	04922	Glucagon signaling pathway
C	04923	Regulation of lipolysis in adipocytes
C	04920	Adipocytokine signaling pathway
C	03320	PPAR signaling pathway
C	04929	GnRH secretion
C	04912	GnRH signaling pathway
C	04913	Ovarian steroidogenesis
C	04915	Estrogen signaling pathway
C	04914	Progesterone-mediated oocyte maturation
C	04917	Prolactin signaling pathway
C	04921	Oxytocin signaling pathway
C	04926	Relaxin signaling pathway
C	04935	Growth hormone synthesis, secretion and action
C	04918	Thyroid hormone synthesis
C	04919	Thyroid hormone signaling pathway
C	04928	Parathyroid hormone synthesis, secretion and action
C	04916	Melanogenesis
C	04924	Renin secretion
C	04614	Renin-angiotensin system
C	04925	Aldosterone synthesis and secretion
C	04927	Cortisol synthesis and secretion
C	04260	Cardiac muscle contraction
C	04261	Adrenergic signaling in cardiomyocytes
C	04270	Vascular smooth muscle contraction
C	04970	Salivary secretion
C	04971	Gastric acid secretion
C	04972	Pancreatic secretion
C	04976	Bile secretion
C	04973	Carbohydrate digestion and absorption
C	04974	Protein digestion and absorption
C	04975	Fat digestion and absorption
C	04979	Cholesterol metabolism
C	04977	Vitamin digestion and absorption
C	04981	Folate transport and metabolism
C	04980	Cobalamin transport and metabolism
C	04978	Mineral absorption
C	04962	Vasopressin-regulated water reabsorption
C	04960	Aldosterone-regulated sodium reabsorption
C	04961	Endocrine and other factor-regulated calcium reabsorption
C	04964	Proximal tubule bicarbonate reclamation
C	04966	Collecting duct acid secretion
C	04724	Glutamatergic synapse
C	04727	GABAergic synapse
C	04725	Cholinergic synapse
C	04728	Dopaminergic synapse
C	04726	Serotonergic synapse
C	04720	Long-term potentiation
C	04730	Long-term depression
C	04723	Retrograde endocannabinoid signaling
C	04721	Synaptic vesicle cycle
C	04722	Neurotrophin signaling pathway
C	04744	Phototransduction
C	04745	Phototransduction - fly
C	04740	Olfactory transduction
C	04742	Taste transduction
C	04750	Inflammatory mediator regulation of TRP channels
C	04320	Dorso-ventral axis formation
C	04360	Axon guidance
C	04361	Axon regeneration
C	04380	Osteoclast differentiation
C	04211	Longevity regulating pathway
C	04212	Longevity regulating pathway - worm
C	04213	Longevity regulating pathway - multiple species
C	04710	Circadian rhythm
C	04713	Circadian entrainment
C	04711	Circadian rhythm - fly
C	04712	Circadian rhythm - plant
C	04714	Thermogenesis
C	04626	Plant-pathogen interaction
A	09160	Human Diseases
C	05200	Pathways in cancer
C	05202	Transcriptional misregulation in cancer
C	05206	MicroRNAs in cancer
C	05205	Proteoglycans in cancer
C	05204	Chemical carcinogenesis - DNA adducts
C	05207	Chemical carcinogenesis - receptor activation
C	05208	Chemical carcinogenesis - reactive oxygen species
C	05203	Viral carcinogenesis
C	05230	Central carbon metabolism in cancer
C	05231	Choline metabolism in cancer
C	05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
C	05210	Colorectal cancer
C	05212	Pancreatic cancer
C	05225	Hepatocellular carcinoma
C	05226	Gastric cancer
C	05214	Glioma
C	05216	Thyroid cancer
C	05221	Acute myeloid leukemia
C	05220	Chronic myeloid leukemia
C	05217	Basal cell carcinoma
C	05218	Melanoma
C	05211	Renal cell carcinoma
C	05219	Bladder cancer
C	05215	Prostate cancer
C	05213	Endometrial cancer
C	05224	Breast cancer
C	05222	Small cell lung cancer
C	05223	Non-small cell lung cancer
C	05166	Human T-cell leukemia virus 1 infection
C	05170	Human immunodeficiency virus 1 infection
C	05161	Hepatitis B
C	05160	Hepatitis C
C	05171	Coronavirus disease - COVID-19
C	05164	Influenza A
C	05162	Measles
C	05168	Herpes simplex virus 1 infection
