K00002	alcohol dehydrogenase (NADP+)
K00006	glycerol-3-phosphate dehydrogenase (NAD+)
K00008	L-iditol 2-dehydrogenase
K00011	aldehyde reductase
K00012	UDPglucose 6-dehydrogenase
K00016	L-lactate dehydrogenase
K00020	3-hydroxyisobutyrate dehydrogenase
K00021	hydroxymethylglutaryl-CoA reductase (NADPH)
K00022	3-hydroxyacyl-CoA dehydrogenase
K00025	malate dehydrogenase
K00026	malate dehydrogenase
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
K00030	isocitrate dehydrogenase (NAD+)
K00031	isocitrate dehydrogenase
K00033	6-phosphogluconate dehydrogenase
K00036	glucose-6-phosphate 1-dehydrogenase
K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase
K00072	sepiapterin reductase
K00088	IMP dehydrogenase
K00102	D-lactate dehydrogenase (cytochrome)
K00106	xanthine dehydrogenase/oxidase
K00108	choline dehydrogenase
K00109	2-hydroxyglutarate dehydrogenase
K00111	glycerol-3-phosphate dehydrogenase
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
K00128	aldehyde dehydrogenase (NAD+)
K00134	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)
K00139	succinate-semialdehyde dehydrogenase
K00140	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase
K00142	acyl-CoA synthetase
K00149	aldehyde dehydrogenase family 9 member A1
K00157	aldehyde oxidase
K00161	pyruvate dehydrogenase E1 component subunit alpha
K00162	pyruvate dehydrogenase E1 component subunit beta
K00164	2-oxoglutarate dehydrogenase E1 component
K00166	2-oxoisovalerate dehydrogenase E1 component subunit alpha
K00167	2-oxoisovalerate dehydrogenase E1 component subunit beta
K00181	O-palmitoleoyl transferase
K00182	wingless-type MMTV integration site family, member 2
K00207	dihydropyrimidine dehydrogenase (NADP+)
K00213	7-dehydrocholesterol reductase
K00232	E1.3.3.acyl-CoA oxidase
K00234	succinate dehydrogenase (ubiquinone) flavoprotein subunit
K00235	succinate dehydrogenase (ubiquinone) iron-sulfur subunit
K00236	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00237	succinate dehydrogenase (ubiquinone) membrane anchor subunit
K00249	acyl-CoA dehydrogenase
K00252	glutaryl-CoA dehydrogenase
K00253	isovaleryl-CoA dehydrogenase
K00254	dihydroorotate dehydrogenase
K00261	GLUD1_glutamate dehydrogenase (NAD(P)+)
K00264	glutamate synthase (NADH)
K00272	D-aspartate oxidase
K00273	D-amino-acid oxidase
K00275	pyridoxamine 5'-phosphate oxidase
K00281	glycine cleavage system P protein (glycine dehydrogenase)
K00286	pyrroline-5-carboxylate reductase
K00287	dihydrofolate reductase
