chr	summit
III	16433419
IV	27829089
III	26107356
II	31810495
II	3269554
IV	6667512
III	22074585
I	25096323
IV	38337984
IV	37677332
V	9584081
IV	28306942
III	2623921
III	5833404
X	1319977
X	18309849
III	28765692
V	28238307
X	18456652
I	13781048
IV	19719160
I	19328442
I	31630862
V	15328379
X	17836645
X	12340089
IV	42848159
III	41170983
X	18315235
X	8175141
IV	28307569
I	41205088
IV	24420243
IV	27807651
I	18945316
X	27692902
I	47586728
V	18427290
I	15571231
V	15364594
III	17565798
III	14367168
II	31760761
IV	38298934
V	39683329
III	37047697
IV	11454071
II	1053227
I	27551161
I	2652008
IV	6673434
II	17284880
II	10454541
III	28757946
III	31713971
V	28283789
I	13671764
X	1324993
V	45045748
I	23343890
X	11847807
V	28703819
II	17286746
IV	37571672
III	3695142
V	11925565
I	39749476
II	12885320
X	18125143
I	16787176
X	3039753
V	2440482
X	28303502
V	103095
V	45046506
II	36744488
IV	7890564
III	17692774
II	39266796
X	18467584
III	13377473
V	8907775
V	45028319
III	5203883
X	18461646
I	13890283
V	49174523
X	15836700
III	19065758
II	8458088
I	31857660
III	21190664
II	16426551
III	16437703
I	39853785
III	42601395
V	14187689
III	11103902
III	26091734
III	26101020
IV	27808319
X	19537453
IV	31150116
III	17454775
X	5804729
IV	45508176
III	21060734
X	18391080
III	32368669
V	18431314
III	2546222
X	18117728
II	29568046
I	39868417
X	11851923
I	19734321
I	33258705
II	36617539
X	7885382
I	1826601
IV	47903965
V	23210820
I	9645231
I	8647720
I	18109345
II	5422403
V	4740008
V	35806230
X	32975080
IV	37570052
I	31368768
IV	11112162
I	35275613
V	31063179
X	33311629
V	14425238
II	5600333
III	43102566
III	44611327
X	11762003
I	8616229
V	28240226
V	3993432
V	8807804
III	16549156
III	1309835
II	43083134
IV	6672943
I	12939350
X	18126205
V	6023924
I	47166858
I	46293351
V	47586792
I	24524635
X	31426816
X	17792937
IV	45546424
IV	38307102
V	5536609
IV	15161680
X	19936630
X	33313325
X	11761268
I	18576788
III	23805431
I	20396601
I	32641001
II	36343025
II	21863314
IV	9276145
V	17912163
IV	477537
I	9760326
III	38576348
II	6580149
V	9585059
IV	28349208
V	4750451
V	15326893
I	36533952
X	4361368
I	4855103
V	5276218
III	28345536
V	31068478
X	13159086
II	39432315
X	2011755
IV	53281684
III	40412678
X	28549381
X	33016999
I	19735013
I	25095418
V	44129358
III	5207888
I	47947089
X	32161889
X	18453940
X	14794643
X	15319485
X	1316220
X	17837231
X	17797259
I	38617910
I	34361789
III	25564362
V	28286276
III	41134672
I	42413646
X	2013221
I	17779621
I	16391683
I	25575269
I	16938844
V	40117927
I	9537427
III	1322402
IV	53583
IV	37228908
III	42631847
IV	27103865
III	41741663
I	31063364
V	46765922
V	34669823
I	9418477
X	14825492
II	41636198
II	17438336
I	27433093
I	28766624
V	29954709
X	18057417
X	32402475
IV	34516689
I	2756170
IV	45582018
IV	52456709
II	5935487
V	34761263
IV	46459457
III	18983072
I	27338722
III	36656844
V	47987671
I	6326370
V	2823990
I	33025386
X	23801073
III	29907736
V	47017716
I	33315868
V	256730
X	7403775
I	45995717
III	1669405
I	1452036
III	44057174
I	2135644
X	27601216
V	4747584
V	7277603
I	47487875
IV	15591691
IV	21547529
II	46459561
I	47300258
III	17674461
III	39618746
II	41886969
X	18258942
IV	27098065
II	6705864
II	40486443
IV	19703825
III	44461898
IV	10140659
III	4803616
II	3912039
V	15327922
III	28964835
V	79187
X	33908733
IV	33275593
X	29128430
X	2869746
I	4948288
I	5615874
X	18055564
X	15841262
I	2646466
V	41032703
III	43101579
V	28248816
III	39211198
III	21578493
II	20315516
IV	25024073
X	27651708
III	26270356
I	5438046
V	18417995
IV	52860116
III	26261335
III	42607076
II	24086796
I	13672877
IV	45824948
III	11610581
V	19774075
X	28189038
II	4572483
X	29436436
I	9648772
V	2508040
X	11871102
I	17555122
IV	52896564
X	9426218
X	32039353
X	4604322
III	27828243
X	27629132
I	15373155
X	18120523
I	31368030
IV	10885164
X	18457998
I	35070128
IV	1095029
I	41576154
II	12025229
I	47948391
I	45397890
II	6238559
II	5503639
X	14879003
III	33826982
III	1299522
III	27898535
X	18122565
III	45496616
II	17135811
IV	48826923
III	17326228
II	29600861
II	29943249
III	14274892
I	27009043
I	27713817
II	20113569
I	17778644
I	34514172
III	1374794
IV	54217
II	18941702
X	1041650
I	24242158
I	41910921
III	43996995
III	44246450
II	17439730
X	18061207
I	3879463
II	29539406
II	23093404
III	41671220
X	18725137
V	35497961
X	17701675
V	10961886
III	996270
III	43310091
I	9265560
III	12786943
I	39797795
III	38318292
IV	43831028
V	18429744
