Query_ID	Subject_Rank	Subject_ID	Backward_Rank	Backward_Query_ID	Status	Subject_Evalue	Subject_IdentityPercent	Subject_BitScore	Subject_WeightedCov	Backward_Query_Evalue	Backward_Query_IdentityPercent	Query_BitScore	Backward_Query_WeightedCov
Hcon5G00000000001.1	1	transcript:HCON_00190700-00002	1	Hcon5G00000000001.1	Hit	1.42473E-101	1.0	301.597	0.9030303030303031	4.46056E-101	1.0	301.597	0.9030303030303031
Hcon5G00000000002.1	1	transcript:HCON_00012770-00001	1	Hcon5G00000004472.1	Miss	9.08099E-75	0.981651376146789	216.083	1.0	6.83541E-75	0.9908256880733946	216.083	1.0
Hcon5G00000000003.1	1	transcript:HCON_00190400-00001	1	Hcon5G00000000003.1	Hit	3.1426E-162	1.0	446.047	1.0	2.94631E-162	1.0	446.047	1.0
Hcon5G00000000004.1	1	transcript:HCON_00190020-00002	1	Hcon5G00000000004.1	Hit	0.0	1.0	1395.95	0.9470013947001394	0.0	1.0	1395.95	0.9470013947001394
Hcon5G00000000006.1	1	transcript:HCON_00032130-00001	1	Hcon5G00000000173.1	Miss	1.50855E-8	1.0	43.8986	1.0	2.12559E-58	0.8910891089108911	177.563	0.8878504672897196
Hcon5G00000000007.1	1	transcript:HCON_00191230-00001	1	Hcon5G00000010810.1	Miss	5.25509E-139	0.9791666666666666	393.66	0.8767123287671232	0.0	0.910941475826972	718.383	0.9768041237113402
Hcon5G00000000005.2	1	transcript:HCON_00191220-00001	1	Hcon5G00000000005.2	Hit	0.0	0.9977528089887641	908.672	1.0	0.0	0.9977528089887641	908.672	1.0
Hcon5G00000000008.1	1	transcript:HCON_00191210-00001	1	Hcon5G00000000008.1	Hit	0.0	1.0	1459.89	1.0	0.0	1.0	1459.89	1.0
Hcon5G00000000009.1	1	transcript:HCON_00182100-00001	1	Hcon5G00000008868.1	Miss	1.55206E-39	0.875	129.028	1.0	1.60488E-165	0.9382716049382716	457.218	0.9958847736625515
Hcon5G00000000010.2	1	transcript:HCON_00191180-00001	1	Hcon5G00000000010.2	Hit	0.0	0.9907407407407407	657.522	0.81	0.0	0.9907407407407407	657.522	0.81
