PeakID (cmd=annotatePeaks.pl hc_IDR_summit.bed hc.fna -gid -gtf hc.gtf -cpu 30)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
820	III	38331556	38331556	+	0	NA	Intergenic	Intergenic	3152	V3C99_002536	V3C99_002536	gnl|V3C99|Hcon5G00000012025						protein_coding
8309	I	9335300	9335300	+	0	NA	Intergenic	Intergenic	-11967	V3C99_003843	V3C99_003843	gnl|V3C99|Hcon5G00000006800						protein_coding
19743	I	12721322	12721322	+	0	NA	intron (V3C99_004106, intron 8 of 9)	mRNA-intron (V3C99_004106, intron 8 of 9)	7220	V3C99_004106	V3C99_004106	gnl|V3C99|Hcon5G00000007063						protein_coding
22855	II	8951415	8951415	+	0	NA	intron (V3C99_011052, intron 28 of 28)	mRNA-intron (V3C99_011052, intron 28 of 28)	-28168	V3C99_011051	V3C99_011051	gnl|V3C99|Hcon5G00000013209						protein_coding
2584	X	16934864	16934864	+	0	NA	promoter-TSS (V3C99_018189)	mRNA-promoter-TSS (V3C99_018189)	-152	V3C99_018189	V3C99_018189	gnl|V3C99|Hcon5G00000001113						protein_coding
12326	V	31778369	31778369	+	0	NA	TTS (V3C99_015786)	mRNA-TTS (V3C99_015786)	3268	V3C99_015786	V3C99_015786	gnl|V3C99|Hcon5G00000017944						protein_coding
20379	II	15993704	15993704	+	0	NA	Intergenic	Intergenic	6926	V3C99_011477	V3C99_011477	gnl|V3C99|Hcon5G00000013635						protein_coding
18678	II	29109627	29109627	+	0	NA	Intergenic	Intergenic	6630	V3C99_012317	V3C99_012317	gnl|V3C99|Hcon5G00000014475						protein_coding
22646	V	22033754	22033754	+	0	NA	intron (V3C99_015191, intron 4 of 17)	mRNA-intron (V3C99_015191, intron 4 of 17)	2932	V3C99_015191	V3C99_015191	gnl|V3C99|Hcon5G00000017349						protein_coding
10337	X	23716784	23716784	+	0	NA	Intergenic	Intergenic	-3071	V3C99_018569	V3C99_018569	gnl|V3C99|Hcon5G00000001493						protein_coding
21890	V	46119403	46119403	+	0	NA	Intergenic	Intergenic	5202	V3C99_016826	V3C99_016826	gnl|V3C99|Hcon5G00000018984						protein_coding
1913	X	3637684	3637684	+	0	NA	exon (V3C99_017315, exon 8 of 12)	mRNA-exon (V3C99_017315, exon 8 of 12)	6697	V3C99_017315	V3C99_017315	gnl|V3C99|Hcon5G00000000239						protein_coding
21199	I	42076733	42076733	+	0	NA	Intergenic	Intergenic	-10241	V3C99_006083	V3C99_006083	gnl|V3C99|Hcon5G00000009040						protein_coding
9846	I	47301616	47301616	+	0	NA	promoter-TSS (V3C99_006482)	mRNA-promoter-TSS (V3C99_006482)	-181	V3C99_006482	V3C99_006482	gnl|V3C99|Hcon5G00000009439						protein_coding
11011	II	2135739	2135739	+	0	NA	Intergenic	Intergenic	-1730	V3C99_010551	V3C99_010551	gnl|V3C99|Hcon5G00000012709						protein_coding
8163	I	11378927	11378927	+	0	NA	Intergenic	Intergenic	30309	V3C99_004003	V3C99_004003	gnl|V3C99|Hcon5G00000006960						protein_coding
13622	V	48583859	48583859	+	0	NA	intron (V3C99_017040, intron 4 of 23)	mRNA-intron (V3C99_017040, intron 4 of 23)	40194	V3C99_017040	V3C99_017040	gnl|V3C99|Hcon5G00000019198						protein_coding
20963	II	21494113	21494113	+	0	NA	promoter-TSS (V3C99_011907)	mRNA-promoter-TSS (V3C99_011907)	-380	V3C99_011907	V3C99_011907	gnl|V3C99|Hcon5G00000014065						protein_coding
11663	II	1280879	1280879	+	0	NA	exon (V3C99_010501, exon 2 of 2)	mRNA-exon (V3C99_010501, exon 2 of 2)	599	V3C99_010501	V3C99_010501	gnl|V3C99|Hcon5G00000012659						protein_coding
1678	I	47869398	47869398	+	0	NA	intron (V3C99_006506, intron 1 of 11)	mRNA-intron (V3C99_006506, intron 1 of 11)	1135	V3C99_006506	V3C99_006506	gnl|V3C99|Hcon5G00000009463						protein_coding
10030	III	21486248	21486248	+	0	NA	TTS (V3C99_001349)	mRNA-TTS (V3C99_001349)	-2222	V3C99_001350	V3C99_001350	gnl|V3C99|Hcon5G00000010839						protein_coding
9511	I	29308264	29308264	+	0	NA	Intergenic	Intergenic	4500	V3C99_005191	V3C99_005191	gnl|V3C99|Hcon5G00000008148						protein_coding
1284	X	19900559	19900559	+	0	NA	Intergenic	Intergenic	-15660	V3C99_018338	V3C99_018338	gnl|V3C99|Hcon5G00000001262						protein_coding
